id,filename,sources_id,info_id,last_updated,valid_from,valid_until
s_fslndly,free-state-lindley,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fslckhf,free-state-luckhof,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsmrqd,free-state-marquad,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsmtprn,free-state-matoporong,43,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_fsnldtw,free-state-naleditownship,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsngwth,free-state-ngwathemunic,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsdndls,free-state-odendaalsrus,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsrnjvl,free-state-oranjeville,43,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_fspnrm,free-state-panorama,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsparys,free-state-parys,43,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_fsplrx,free-state-paulroux,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsptrsb,free-state-petrusburg,43,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_fsptrss,free-state-petrussteyn,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsphlpl,free-state-philipolis,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsphrtn,free-state-phiritona,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsphtdt,free-state-phutaditjhaba,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsqwqw,free-state-qwa-qwa,43,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_fsrddrs,free-state-reddersburg,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsreitz,free-state-reitz,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsrbcks,free-state-riebeeckstad,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsrsndl,free-state-rosendal,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsrxvll,free-state-rouxville,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsrwlly,free-state-rweleleyathunya,43,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_fssnkl,free-state-senekal,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fssrts,free-state-seretse,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fssmthf,free-state-smithfield,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fssprng,free-state-springfonteintown,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_wibbxmd,free-state-springfonteintruck(garage),43,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_fsstyns,free-state-steynsrus,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsthnss,free-state-theunissen,43,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_fstrmps,free-state-trompsburg,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fstshsn,free-state-tsheseng,43,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_fstshm,free-state-tshiame,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fstwlng,free-state-tweeling,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fstwspr,free-state-tweespruit,43,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_fsvlprk,free-state-vaalpark,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsvnstn,free-state-vanstandensrus,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsvrkrd,free-state-veerkerde-vlei,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fstrsbr,free-state-ventersburg,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsvljns,free-state-viljoenskroon,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsvllrs,free-state-villiers,43,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_fsvrgnn,free-state-virginianorth,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsvrgnt,free-state-virginiatown,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsvrdfr,free-state-vredefort,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsw,free-state-w,43,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_fswrdn,free-state-warden,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fswlkmb,free-state-welkombulk,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fswlkmt,free-state-welkomtown,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fswpnr,free-state-wepener,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fswssls,free-state-wesselsbron,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fswnbrg,free-state-winburg,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fswtskh,free-state-witsiekhoek,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fszmdl,free-state-zamdela,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fszstrn,free-state-zastron,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_ekur1,gauteng-ekurhuleni-block-1,44,45,2022-09-30 12:41:10,2022-09-13 21:30:49,
s_ekur2,gauteng-ekurhuleni-block-2,44,45,2022-09-30 12:41:10,2022-09-13 21:30:49,
s_ekur3,gauteng-ekurhuleni-block-3,44,45,2022-09-30 12:41:10,2022-09-13 21:30:49,
s_ekur4,gauteng-ekurhuleni-block-4,44,45,2022-09-30 12:41:10,2022-09-13 21:30:49,
s_ekur5,gauteng-ekurhuleni-block-5,44,45,2022-09-30 12:41:10,2022-09-13 21:30:49,
s_ekur6,gauteng-ekurhuleni-block-6,44,45,2022-09-30 12:41:10,2022-09-13 21:30:49,
s_ekur7,gauteng-ekurhuleni-block-7,44,45,2022-09-30 12:41:10,2022-09-13 21:30:49,
s_ekur8,gauteng-ekurhuleni-block-8,44,45,2022-09-30 12:41:10,2022-09-13 21:30:49,
s_ekur9,gauteng-ekurhuleni-block-9,44,45,2022-09-30 12:41:10,2022-09-13 21:30:49,
s_ekur10,gauteng-ekurhuleni-block-10,44,45,2022-09-30 12:41:10,2022-09-13 21:30:49,
s_ekur11,gauteng-ekurhuleni-block-11,44,45,2022-09-30 12:41:10,2022-09-13 21:30:49,
s_ekur12,gauteng-ekurhuleni-block-12,44,45,2022-09-30 12:41:10,2022-09-13 21:30:49,
s_ekur13,gauteng-ekurhuleni-block-13,44,45,2022-09-30 12:41:10,2022-09-13 21:30:49,
s_ekur14,gauteng-ekurhuleni-block-14,44,45,2022-09-30 12:41:10,2022-09-13 21:30:49,
s_ekur15,gauteng-ekurhuleni-block-15,44,45,2022-09-30 12:41:10,2022-09-13 21:30:49,
s_ekur16,gauteng-ekurhuleni-block-16,44,45,2022-09-30 12:41:10,2022-09-13 21:30:49,
s_mfln1,gauteng-emfuleni-area-a1,46,47,2023-05-24 14:00:22,2023-05-24 14:00:22,
s_mfln2,gauteng-emfuleni-area-a2,46,47,2023-05-24 14:00:22,2023-05-24 14:00:22,
s_mfln3,gauteng-emfuleni-area-a3,46,47,2023-05-24 14:00:22,2023-05-24 14:00:22,
s_mfln4,gauteng-emfuleni-area-a4,46,47,2023-05-24 14:00:22,2023-05-24 14:00:22,
s_mfln5,gauteng-emfuleni-area-a5,46,47,2023-05-24 14:00:22,2023-05-24 14:00:22,
s_mfln6,gauteng-emfuleni-area-a6,46,47,2023-05-24 14:00:22,2023-05-24 14:00:22,
s_mfln7,gauteng-emfuleni-area-a7,46,47,2023-05-24 14:00:22,2023-05-24 14:00:22,
s_mfln8,gauteng-emfuleni-area-a8,46,47,2023-05-24 14:00:22,2023-05-24 14:00:22,
s_mfln9,gauteng-emfuleni-area-a9,46,47,2023-05-24 14:00:22,2023-05-24 14:00:22,
s_mfln10,gauteng-emfuleni-area-a10,46,47,2023-05-24 14:00:22,2023-05-24 14:00:22,
s_mfln11,gauteng-emfuleni-area-a11,46,47,2023-05-24 14:00:22,2023-05-24 14:00:22,
s_mfln12,gauteng-emfuleni-area-a12,46,47,2023-05-24 14:00:22,2023-05-24 14:00:22,
s_mfln13,gauteng-emfuleni-area-a13,46,47,2023-05-24 14:00:22,2023-05-24 14:00:22,
s_mfln14,gauteng-emfuleni-area-a14,46,47,2023-05-24 14:00:22,2023-05-24 14:00:22,
s_mfln15,gauteng-emfuleni-area-a15,46,47,2023-05-24 14:00:22,2023-05-24 14:00:22,
s_mfln16,gauteng-emfuleni-area-a16,46,47,2023-05-24 14:00:22,2023-05-24 14:00:22,
s_mfln17,gauteng-emfuleni-area-a17,46,47,2023-05-24 14:00:22,2023-05-24 14:00:22,
s_mfln18,gauteng-emfuleni-area-a18,46,47,2023-05-24 14:00:22,2023-05-24 14:00:22,
s_mfln19,gauteng-emfuleni-area-a19,46,47,2023-05-24 14:00:22,2023-05-24 14:00:22,
s_mfln20,gauteng-emfuleni-area-a20,46,47,2023-05-24 14:00:22,2023-05-24 14:00:22,
s_mfln21,gauteng-emfuleni-area-a21,46,47,2023-05-24 14:00:22,2023-05-24 14:00:22,
s_mfln22,gauteng-emfuleni-area-a22,46,47,2023-05-24 14:00:22,2023-05-24 14:00:22,
s_mfln23,gauteng-emfuleni-area-a23,46,47,2023-05-24 14:00:22,2023-05-24 14:00:22,
s_tshwn1,gauteng-tshwane-group-1,48,49,2022-09-30 12:41:10,2022-09-19 16:34:31,
s_tshwn10,gauteng-tshwane-group-10,48,49,2022-09-30 12:41:10,2022-09-19 16:34:31,
s_tshwn11,gauteng-tshwane-group-11,48,49,2022-09-30 12:41:10,2022-09-19 16:34:31,
s_tshwn12,gauteng-tshwane-group-12,48,49,2022-09-30 12:41:10,2022-09-19 16:34:31,
s_tshwn13,gauteng-tshwane-group-13,48,49,2022-09-30 12:41:10,2022-09-19 16:34:31,
s_tshwn14,gauteng-tshwane-group-14,48,49,2022-09-30 12:41:10,2022-09-19 16:34:31,
s_tshwn15,gauteng-tshwane-group-15,48,49,2022-09-30 12:41:10,2022-09-19 16:34:31,
s_tshwn16,gauteng-tshwane-group-16,48,49,2022-09-30 12:41:10,2022-09-19 16:34:31,
s_tshwn2,gauteng-tshwane-group-2,48,49,2022-09-30 12:41:10,2022-09-19 16:34:31,
s_tshwn3,gauteng-tshwane-group-3,48,49,2022-09-30 12:41:10,2022-09-19 16:34:31,
s_tshwn4,gauteng-tshwane-group-4,48,49,2022-09-30 12:41:10,2022-09-19 16:34:31,
