day_of_cycle ,period_of_cycle ,start_of_cycle ,start_time ,finsh_time ,stage
           5 ,             19 ,2023-09-15     ,02:00      ,04:30      ,    4
           5 ,             19 ,2023-09-15     ,02:00      ,04:30      ,    5
           5 ,             19 ,2023-09-15     ,02:00      ,04:30      ,    6
           5 ,             19 ,2023-09-15     ,02:00      ,04:30      ,    7
           5 ,             19 ,2023-09-15     ,02:00      ,04:30      ,    8
           5 ,             19 ,2023-09-15     ,10:00      ,12:30      ,    4
           5 ,             19 ,2023-09-15     ,10:00      ,12:30      ,    5
           5 ,             19 ,2023-09-15     ,10:00      ,12:30      ,    6
           5 ,             19 ,2023-09-15     ,10:00      ,12:30      ,    7
           5 ,             19 ,2023-09-15     ,10:00      ,12:30      ,    8
           5 ,             19 ,2023-09-15     ,20:00      ,22:30      ,    3
           5 ,             19 ,2023-09-15     ,20:00      ,22:30      ,    4
           5 ,             19 ,2023-09-15     ,20:00      ,22:30      ,    5
           5 ,             19 ,2023-09-15     ,20:00      ,22:30      ,    6
           5 ,             19 ,2023-09-15     ,20:00      ,22:30      ,    7
           5 ,             19 ,2023-09-15     ,20:00      ,22:30      ,    8
           6 ,             19 ,2023-09-15     ,06:00      ,08:30      ,    2
           6 ,             19 ,2023-09-15     ,06:00      ,08:30      ,    3
           6 ,             19 ,2023-09-15     ,06:00      ,08:30      ,    4
           6 ,             19 ,2023-09-15     ,06:00      ,08:30      ,    5
           6 ,             19 ,2023-09-15     ,06:00      ,08:30      ,    6
           6 ,             19 ,2023-09-15     ,06:00      ,08:30      ,    7
           6 ,             19 ,2023-09-15     ,06:00      ,08:30      ,    8
           6 ,             19 ,2023-09-15     ,16:00      ,18:30      ,    1
           6 ,             19 ,2023-09-15     ,16:00      ,18:30      ,    2
           6 ,             19 ,2023-09-15     ,16:00      ,18:30      ,    3
           6 ,             19 ,2023-09-15     ,16:00      ,18:30      ,    4
           6 ,             19 ,2023-09-15     ,16:00      ,18:30      ,    5
           6 ,             19 ,2023-09-15     ,16:00      ,18:30      ,    6
           6 ,             19 ,2023-09-15     ,16:00      ,18:30      ,    7
           6 ,             19 ,2023-09-15     ,16:00      ,18:30      ,    8
           7 ,             19 ,2023-09-15     ,00:00      ,02:30      ,    4
           7 ,             19 ,2023-09-15     ,00:00      ,02:30      ,    5
           7 ,             19 ,2023-09-15     ,00:00      ,02:30      ,    6
           7 ,             19 ,2023-09-15     ,00:00      ,02:30      ,    7
           7 ,             19 ,2023-09-15     ,00:00      ,02:30      ,    8
           7 ,             19 ,2023-09-15     ,10:00      ,12:30      ,    3
           7 ,             19 ,2023-09-15     ,10:00      ,12:30      ,    4
           7 ,             19 ,2023-09-15     ,10:00      ,12:30      ,    5
           7 ,             19 ,2023-09-15     ,10:00      ,12:30      ,    6
           7 ,             19 ,2023-09-15     ,10:00      ,12:30      ,    7
           7 ,             19 ,2023-09-15     ,10:00      ,12:30      ,    8
           7 ,             19 ,2023-09-15     ,20:00      ,22:30      ,    2
           7 ,             19 ,2023-09-15     ,20:00      ,22:30      ,    3
           7 ,             19 ,2023-09-15     ,20:00      ,22:30      ,    4
           7 ,             19 ,2023-09-15     ,20:00      ,22:30      ,    5
           7 ,             19 ,2023-09-15     ,20:00      ,22:30      ,    6
           7 ,             19 ,2023-09-15     ,20:00      ,22:30      ,    7
           7 ,             19 ,2023-09-15     ,20:00      ,22:30      ,    8
           8 ,             19 ,2023-09-15     ,06:00      ,08:30      ,    1
           8 ,             19 ,2023-09-15     ,06:00      ,08:30      ,    2
           8 ,             19 ,2023-09-15     ,06:00      ,08:30      ,    3
           8 ,             19 ,2023-09-15     ,06:00      ,08:30      ,    4
           8 ,             19 ,2023-09-15     ,06:00      ,08:30      ,    5
           8 ,             19 ,2023-09-15     ,06:00      ,08:30      ,    6
           8 ,             19 ,2023-09-15     ,06:00      ,08:30      ,    7
           8 ,             19 ,2023-09-15     ,06:00      ,08:30      ,    8
           8 ,             19 ,2023-09-15     ,14:00      ,16:30      ,    4
           8 ,             19 ,2023-09-15     ,14:00      ,16:30      ,    5
           8 ,             19 ,2023-09-15     ,14:00      ,16:30      ,    6
           8 ,             19 ,2023-09-15     ,14:00      ,16:30      ,    7
           8 ,             19 ,2023-09-15     ,14:00      ,16:30      ,    8
           9 ,             19 ,2023-09-15     ,00:00      ,02:30      ,    3
           9 ,             19 ,2023-09-15     ,00:00      ,02:30      ,    4
           9 ,             19 ,2023-09-15     ,00:00      ,02:30      ,    5
           9 ,             19 ,2023-09-15     ,00:00      ,02:30      ,    6
           9 ,             19 ,2023-09-15     ,00:00      ,02:30      ,    7
           9 ,             19 ,2023-09-15     ,00:00      ,02:30      ,    8
           9 ,             19 ,2023-09-15     ,10:00      ,12:30      ,    2
           9 ,             19 ,2023-09-15     ,10:00      ,12:30      ,    3
           9 ,             19 ,2023-09-15     ,10:00      ,12:30      ,    4
           9 ,             19 ,2023-09-15     ,10:00      ,12:30      ,    5
           9 ,             19 ,2023-09-15     ,10:00      ,12:30      ,    6
           9 ,             19 ,2023-09-15     ,10:00      ,12:30      ,    7
           9 ,             19 ,2023-09-15     ,10:00      ,12:30      ,    8
           9 ,             19 ,2023-09-15     ,20:00      ,22:30      ,    1
           9 ,             19 ,2023-09-15     ,20:00      ,22:30      ,    2
           9 ,             19 ,2023-09-15     ,20:00      ,22:30      ,    3
           9 ,             19 ,2023-09-15     ,20:00      ,22:30      ,    4
           9 ,             19 ,2023-09-15     ,20:00      ,22:30      ,    5
           9 ,             19 ,2023-09-15     ,20:00      ,22:30      ,    6
           9 ,             19 ,2023-09-15     ,20:00      ,22:30      ,    7
           9 ,             19 ,2023-09-15     ,20:00      ,22:30      ,    8
          10 ,             19 ,2023-09-15     ,14:00      ,16:30      ,    3
          10 ,             19 ,2023-09-15     ,14:00      ,16:30      ,    4
          10 ,             19 ,2023-09-15     ,14:00      ,16:30      ,    5
          10 ,             19 ,2023-09-15     ,14:00      ,16:30      ,    6
          10 ,             19 ,2023-09-15     ,14:00      ,16:30      ,    7
          10 ,             19 ,2023-09-15     ,14:00      ,16:30      ,    8
          10 ,             19 ,2023-09-15     ,04:00      ,06:30      ,    4
          10 ,             19 ,2023-09-15     ,04:00      ,06:30      ,    5
          10 ,             19 ,2023-09-15     ,04:00      ,06:30      ,    6
          10 ,             19 ,2023-09-15     ,04:00      ,06:30      ,    7
          10 ,             19 ,2023-09-15     ,04:00      ,06:30      ,    8
          11 ,             19 ,2023-09-15     ,00:00      ,02:30      ,    2
          11 ,             19 ,2023-09-15     ,00:00      ,02:30      ,    3
          11 ,             19 ,2023-09-15     ,00:00      ,02:30      ,    4
          11 ,             19 ,2023-09-15     ,00:00      ,02:30      ,    5
          11 ,             19 ,2023-09-15     ,00:00      ,02:30      ,    6
          11 ,             19 ,2023-09-15     ,00:00      ,02:30      ,    7
