start_time,finsh_time,date_of_month,stage
21:00,23:30,29,0
21:00,23:30,30,0
21:00,23:30,31,0
23:00,01:30,1,4
23:00,01:30,2,1
23:00,01:30,3,2
23:00,01:30,4,3
23:00,01:30,5,8
23:00,01:30,6,5
23:00,01:30,7,6
23:00,01:30,8,7
23:00,01:30,9,0
23:00,01:30,10,0
23:00,01:30,11,0
23:00,01:30,12,0
23:00,01:30,13,0
23:00,01:30,14,0
23:00,01:30,15,0
23:00,01:30,16,0
23:00,01:30,17,3
23:00,01:30,18,4
23:00,01:30,19,1
23:00,01:30,20,2
23:00,01:30,21,7
23:00,01:30,22,8
23:00,01:30,23,5
23:00,01:30,24,6
23:00,01:30,25,0
23:00,01:30,26,0
23:00,01:30,27,0
23:00,01:30,28,0
23:00,01:30,29,0
23:00,01:30,30,0
23:00,01:30,31,0
